name,published_at,data
dataStream,2015-11-13T07:45:56.955Z,1971;26;897
dataStream,2015-11-13T07:46:56.956Z,1976;26;887
dataStream,2015-11-13T07:47:56.955Z,1983;26;931
dataStream,2015-11-13T07:48:56.955Z,1980;26;930
dataStream,2015-11-13T07:49:56.955Z,1977;26;926
dataStream,2015-11-13T07:50:56.956Z,1981;25;898
dataStream,2015-11-13T07:51:56.956Z,1971;26;887
dataStream,2015-11-13T07:52:56.955Z,1990;25;920
dataStream,2015-11-13T07:53:56.957Z,1996;25;926
dataStream,2015-11-13T07:54:56.961Z,1993;25;889
dataStream,2015-11-13T07:55:56.956Z,1999;26;932
dataStream,2015-11-13T07:56:56.957Z,1992;25;896
dataStream,2015-11-13T07:57:56.957Z,2007;26;873
dataStream,2015-11-13T07:58:56.957Z,1984;26;901
dataStream,2015-11-13T07:59:56.956Z,1992;25;898
dataStream,2015-11-13T08:00:56.956Z,2032;26;923
dataStream,2015-11-13T08:01:56.957Z,2038;26;915
dataStream,2015-11-13T08:02:56.957Z,1992;26;862
dataStream,2015-11-13T08:03:56.974Z,1980;26;893
dataStream,2015-11-13T08:04:56.957Z,1980;25;903
dataStream,2015-11-13T08:05:56.959Z,2000;26;930
dataStream,2015-11-13T08:06:56.956Z,1977;25;906
dataStream,2015-11-13T08:07:56.958Z,1991;26;917
dataStream,2015-11-13T08:08:56.962Z,1989;25;922
dataStream,2015-11-13T08:09:56.958Z,2016;26;863
dataStream,2015-11-13T08:10:56.957Z,1989;26;882
dataStream,2015-11-13T08:11:56.968Z,2003;26;875
dataStream,2015-11-13T08:12:56.957Z,2011;25;901
dataStream,2015-11-13T08:13:56.958Z,2010;26;908
dataStream,2015-11-13T08:14:56.957Z,2025;26;921
dataStream,2015-11-13T08:15:56.958Z,2026;26;867
dataStream,2015-11-13T08:16:56.959Z,2004;26;885
dataStream,2015-11-13T08:17:56.958Z,1996;26;871
dataStream,2015-11-13T08:18:56.958Z,1993;25;876
dataStream,2015-11-13T08:19:56.959Z,1991;26;870
dataStream,2015-11-13T08:20:56.961Z,2008;25;916
dataStream,2015-11-13T08:21:56.958Z,2009;25;902
dataStream,2015-11-13T08:22:56.958Z,2022;26;900
dataStream,2015-11-13T08:23:56.960Z,2017;26;901
dataStream,2015-11-13T08:24:56.959Z,2035;26;870
dataStream,2015-11-13T08:25:56.958Z,2032;26;871
dataStream,2015-11-13T08:26:56.959Z,2032;26;897
