data,published_at,name
655;1940;1285;0,2015-09-07T20:00:14.009Z,dataStream
631;1938;1267;0,2015-09-07T20:00:34.011Z,dataStream
623;1951;1293;0,2015-09-07T20:00:54.011Z,dataStream
698;1949;1297;0,2015-09-07T20:01:14.014Z,dataStream
616;1949;1314;0,2015-09-07T20:01:34.013Z,dataStream
10382,2015-09-07T20:01:34.115Z,motorActivation
659;1941;1283;0,2015-09-07T20:01:54.014Z,dataStream
711;1968;1283;0,2015-09-07T20:02:14.014Z,dataStream
621;1950;1285;0,2015-09-07T20:02:34.016Z,dataStream
612;1930;1300;0,2015-09-07T20:02:54.016Z,dataStream
710;1950;1302;0,2015-09-07T20:03:14.018Z,dataStream
695;1959;1281;0,2015-09-07T20:03:34.017Z,dataStream
601;1943;1290;0,2015-09-07T20:03:54.018Z,dataStream
665;1942;1310;0,2015-09-07T20:04:14.018Z,dataStream
705;1953;1313;0,2015-09-07T20:04:34.020Z,dataStream
597;1942;1294;0,2015-09-07T20:04:54.020Z,dataStream
680;1946;1286;0,2015-09-07T20:05:14.021Z,dataStream
703;1959;1259;0,2015-09-07T20:05:34.021Z,dataStream
651;1946;1270;0,2015-09-07T20:05:54.022Z,dataStream
688;1953;1309;0,2015-09-07T20:06:14.024Z,dataStream
627;1939;1314;0,2015-09-07T20:06:34.024Z,dataStream
593;1926;1284;0,2015-09-07T20:06:54.025Z,dataStream
610;1945;1277;0,2015-09-07T20:07:14.025Z,dataStream
618;1951;1282;0,2015-09-07T20:07:34.026Z,dataStream
654;1944;1319;0,2015-09-07T20:07:54.027Z,dataStream
706;1970;1291;0,2015-09-07T20:08:14.028Z,dataStream
695;1954;1307;0,2015-09-07T20:08:34.028Z,dataStream
627;1941;1271;0,2015-09-07T20:08:54.030Z,dataStream
593;1935;1299;0,2015-09-07T20:09:14.030Z,dataStream
651;1949;1299;0,2015-09-07T20:09:34.031Z,dataStream
707;1972;1316;0,2015-09-07T20:09:54.033Z,dataStream
658;1940;1272;0,2015-09-07T20:10:14.032Z,dataStream
606;1937;1305;0,2015-09-07T20:10:34.032Z,dataStream
618;1947;1291;0,2015-09-07T20:10:54.034Z,dataStream
703;1961;1291;0,2015-09-07T20:11:14.034Z,dataStream
661;1940;1293;0,2015-09-07T20:11:34.036Z,dataStream
605;1938;1275;0,2015-09-07T20:11:54.035Z,dataStream
631;1944;1298;0,2015-09-07T20:12:14.037Z,dataStream
693;1951;1306;0,2015-09-07T20:12:34.038Z,dataStream
601;1940;1265;0,2015-09-07T20:12:54.038Z,dataStream
673;1944;1290;0,2015-09-07T20:13:14.028Z,dataStream
690;1953;1317;0,2015-09-07T20:13:34.029Z,dataStream
613;1944;1279;0,2015-09-07T20:13:54.029Z,dataStream
