data,published_at,name
892;1932;1259;0,2015-09-07T20:19:14.053Z,dataStream
626;1912;1234;0,2015-09-07T20:19:34.053Z,dataStream
785;1919;1220;0,2015-09-07T20:19:54.055Z,dataStream
840;1929;1271;0,2015-09-07T20:20:14.054Z,dataStream
753;1907;1254;0,2015-09-07T20:20:34.055Z,dataStream
765;1903;1221;0,2015-09-07T20:20:54.056Z,dataStream
721;1897;1249;0,2015-09-07T20:21:14.057Z,dataStream
873;1894;1231;0,2015-09-07T20:21:34.057Z,dataStream
624;1825;1175;0,2015-09-07T20:21:54.059Z,dataStream
1069;1917;1236;0,2015-09-07T20:22:14.059Z,dataStream
532;1804;1215;0,2015-09-07T20:22:34.064Z,dataStream
1004;1901;1242;0,2015-09-07T20:22:54.061Z,dataStream
597;1814;1211;0,2015-09-07T20:23:14.061Z,dataStream
1062;1872;1189;0,2015-09-07T20:23:34.063Z,dataStream
590;1814;1225;0,2015-09-07T20:23:54.064Z,dataStream
1030;1863;1195;0,2015-09-07T20:24:14.064Z,dataStream
640;1820;1230;0,2015-09-07T20:24:34.064Z,dataStream
787;1807;1189;0,2015-09-07T20:24:54.065Z,dataStream
1053;1872;1241;0,2015-09-07T20:25:14.065Z,dataStream
616;1796;1185;0,2015-09-07T20:25:34.068Z,dataStream
956;1814;1183;0,2015-09-07T20:25:54.066Z,dataStream
583;1766;1189;0,2015-09-07T20:26:14.068Z,dataStream
635;1804;1218;0,2015-09-07T20:26:34.068Z,dataStream
1028;1842;1220;0,2015-09-07T20:26:54.070Z,dataStream
983;1822;1197;0,2015-09-07T20:27:14.069Z,dataStream
776;1810;1183;0,2015-09-07T20:27:34.070Z,dataStream
714;1799;1182;0,2015-09-07T20:27:54.071Z,dataStream
616;1771;1152;0,2015-09-07T20:28:14.071Z,dataStream
1030;1830;1213;0,2015-09-07T20:28:34.073Z,dataStream
993;1816;1187;0,2015-09-07T20:28:54.073Z,dataStream
915;1808;1185;0,2015-09-07T20:29:14.074Z,dataStream
860;1792;1152;0,2015-09-07T20:29:34.074Z,dataStream
726;1783;1172;0,2015-09-07T20:29:54.076Z,dataStream
711;1790;1189;0,2015-09-07T20:30:14.075Z,dataStream
746;1783;1169;0,2015-09-07T20:30:34.077Z,dataStream
597;1749;1164;0,2015-09-07T20:30:54.077Z,dataStream
651;1764;1160;0,2015-09-07T20:31:14.078Z,dataStream
702;1763;1167;0,2015-09-07T20:31:34.078Z,dataStream
1021;1828;1193;0,2015-09-07T20:31:54.080Z,dataStream
533;1713;1154;0,2015-09-07T20:32:14.080Z,dataStream
755;1767;1168;0,2015-09-07T20:32:34.083Z,dataStream
919;1786;1161;0,2015-09-07T20:32:54.081Z,dataStream
622;1743;1158;0,2015-09-07T20:33:14.083Z,dataStream
767;1764;1163;0,2015-09-07T20:33:34.082Z,dataStream
1014;1808;1165;0,2015-09-07T20:33:54.084Z,dataStream
